endpoint,method,k,k_effective,seed,auroc,n_eval_patients
subtype,linear_probe,10,10,3,0.9702093397745571,173
subtype,linear_probe,10,10,4,0.9745034889962426,173
subtype,linear_probe,10,10,5,0.9802737520128825,173
subtype,linear_probe,10,10,6,0.9916800858829844,173
subtype,linear_probe,10,10,7,0.99020397208803,173
subtype,linear_probe,25,25,0,0.9762479871175523,173
subtype,linear_probe,25,25,1,0.9833601717659689,173
subtype,linear_probe,25,25,2,0.988593666129898,173
subtype,linear_probe,25,25,3,0.9702093397745571,173
subtype,linear_probe,25,25,4,0.9745034889962426,173
subtype,linear_probe,25,25,5,0.9806763285024155,173
subtype,linear_probe,25,25,6,0.9920826623725174,173
subtype,linear_probe,25,25,7,0.9904723564143854,173
subtype,linear_probe,50,50,0,0.9753086419753086,173
subtype,linear_probe,50,50,1,0.9859098228663447,173
subtype,linear_probe,50,50,2,0.9918142780461621,173
subtype,linear_probe,50,50,3,0.9698067632850241,173
subtype,linear_probe,50,50,4,0.9762479871175523,173
subtype,linear_probe,50,50,5,0.9814814814814815,173
subtype,linear_probe,50,50,6,0.9926194310252281,173
subtype,linear_probe,50,50,7,0.9912775093934514,173
subtype,linear_probe,100,100,0,0.9773215244229737,173
subtype,linear_probe,100,100,1,0.9867149758454107,173
subtype,linear_probe,100,100,2,0.9924852388620504,173
subtype,linear_probe,100,100,3,0.9730273752012882,173
subtype,linear_probe,100,100,4,0.9778582930756844,173
subtype,linear_probe,100,100,5,0.9821524422973699,173
subtype,linear_probe,100,100,6,0.9943639291465378,173
subtype,linear_probe,100,100,7,0.9924852388620504,173
subtype,zeroshot,0,0,0,0.975577026301664,173
subtype,zeroshot,0,0,1,0.9820182501341922,173
subtype,zeroshot,0,0,2,0.988593666129898,173
subtype,zeroshot,0,0,3,0.9698067632850241,173
subtype,zeroshot,0,0,4,0.9745034889962426,173
subtype,zeroshot,0,0,5,0.9800053676865271,173
subtype,zeroshot,0,0,6,0.9908749329039184,173
subtype,zeroshot,0,0,7,0.99020397208803,173
