male,oof_probability
1.000000000000000000e+00,8.625087951695059596e-01
1.000000000000000000e+00,8.562443684686601442e-01
0.000000000000000000e+00,1.634695732341442942e-01
1.000000000000000000e+00,8.602117555171212571e-01
1.000000000000000000e+00,8.509969564225329242e-01
0.000000000000000000e+00,1.212451972631094083e-01
0.000000000000000000e+00,1.197504415881960466e-01
0.000000000000000000e+00,2.166105158486415216e-01
1.000000000000000000e+00,8.488285769797390135e-01
1.000000000000000000e+00,8.505854368120705500e-01
1.000000000000000000e+00,8.575856494136180341e-01
1.000000000000000000e+00,8.524784614538322147e-01
1.000000000000000000e+00,8.510695818835114501e-01
0.000000000000000000e+00,1.705284084890515139e-01
0.000000000000000000e+00,1.042814715063366815e-01
1.000000000000000000e+00,8.514106683594461211e-01
0.000000000000000000e+00,1.929321348186912588e-01
0.000000000000000000e+00,1.688944077363016272e-01
0.000000000000000000e+00,1.049741300764409774e-01
1.000000000000000000e+00,8.542310253117479935e-01
1.000000000000000000e+00,8.497916888707640615e-01
1.000000000000000000e+00,8.541750017300743236e-01
0.000000000000000000e+00,1.416493023360780035e-01
0.000000000000000000e+00,2.167593879153238146e-01
0.000000000000000000e+00,1.056063480841182428e-01
0.000000000000000000e+00,1.485472563203623642e-01
1.000000000000000000e+00,8.540980994664020276e-01
0.000000000000000000e+00,1.090807436706245359e-01
0.000000000000000000e+00,1.880735212073889329e-01
1.000000000000000000e+00,8.617253643780684591e-01
1.000000000000000000e+00,8.572065682650477081e-01
1.000000000000000000e+00,8.528184471852355841e-01
0.000000000000000000e+00,1.623742263932987095e-01
1.000000000000000000e+00,8.615016960263505164e-01
0.000000000000000000e+00,1.747461750043402540e-01
0.000000000000000000e+00,1.469234958736825580e-01
0.000000000000000000e+00,1.311714044023681858e-01
1.000000000000000000e+00,8.578778002396110214e-01
1.000000000000000000e+00,8.583832642944069224e-01
0.000000000000000000e+00,1.368232668839015620e-01
0.000000000000000000e+00,1.452846121969567639e-01
0.000000000000000000e+00,1.678155453419959975e-01
1.000000000000000000e+00,8.512115879746180447e-01
1.000000000000000000e+00,8.553278917281652571e-01
1.000000000000000000e+00,8.523585487925121607e-01
