main_index,label,pred
190310,1,0.12855626134789738
190340,0,0.19319314759393683
190418,0,0.024842064406042582
190437,0,0.28906500432999804
190441,0,0.7895713505612548
190449,0,0.6246479684557953
190457,0,4.002462280985471e-06
190468,0,0.39177229340820374
190497,0,0.4531546199480333
190504,0,0.4940443066187321
190566,0,0.29020167976754113
190568,0,0.052678399731106
190583,1,0.014894456282478583
190587,0,0.20251135085080973
190591,0,0.08271853427149684
190601,0,0.4064739565542261
190610,0,0.10110956105965951
190640,1,0.4733196285174257
190664,0,0.42855199747295336
190691,0,0.5359024309062385
190749,0,0.10559759700125664
190782,0,0.45811514618811283
190784,0,0.0672187630106803
190819,0,0.5043741719973727
190828,1,0.24059825110572036
190838,0,0.13143828739676777
190868,1,0.1944650818059153
190870,1,0.17439306210986402
190872,0,0.14002506085362995
190897,0,0.13420970598773227
190941,0,0.008480743141667867
190964,0,0.11017782968158658
190966,0,0.10139356795634351
191005,0,0.1053786963670632
191030,1,0.1403546266403368
191032,0,0.13069022974322128
191034,1,0.6686149673822374
191038,0,0.08331893463772695
191047,0,0.6290601722039243
191067,0,0.1443333578523796
191073,0,0.17516642527033616
191083,0,3.5154176691585416e-06
191097,1,0.46945163839411724
191140,0,0.27444192352758173
191157,1,0.12765747637025943
191182,0,0.04340906394968971
