main_index,label,pred
1012132,0,0.30399916311543135
1044109,1,0.6208550612396431
1059018,1,0.5005675644084775
1179308,0,0.2104336941379051
190828,1,0.6972159045921886
191182,0,0.2407772035901143
1924596,1,0.44048475134780746
1925389,0,0.22912021010860772
2230621,0,0.30750911217913074
2255170,0,0.3381785072360314
2294622,1,0.5251344914968286
2412870,0,0.4497243337096635
2413722,0,0.45689794890833924
2810900,0,0.30177653555540374
4617573,0,0.30166744455258304
489612,0,0.28918238889700926
509485,0,0.33836002629867734
513150,1,0.5367300724969087
527050,0,0.4998030312876409
529911,0,0.5108624783501651
561145,0,0.500980584063851
573121,1,0.3184347826003215
577634,1,0.33953105351690144
590582,0,0.5847146581162415
593979,0,0.27599232312578004
604979,0,0.33866366824814476
617764,0,0.2414052494359823
622949,0,0.3593591386256914
647333,0,0.46749104281024323
697778,0,0.35098415534811894
699000,0,0.4406444252432214
702872,1,0.6045039011758535
713257,0,0.6306868705937009
719011,1,0.33753840731839624
719526,0,0.6453578874485714
729387,0,0.2999069792641819
733242,0,0.4712791417449846
738773,1,0.6429484406101033
763263,0,0.24678752621591055
878585,0,0.6032392499713162
885123,0,0.42012033531279436
894959,1,0.5144663206368042
926581,0,0.7549630044995315
952206,0,0.22680163808489875
952907,1,0.5664618942164346
959451,0,0.29827405894983394
964863,1,0.5768027755952502
982199,0,0.36865471881407963
982728,0,0.5329628419224645
986829,0,0.4853789424992516
986860,0,0.19575597202464617
988693,0,0.38918743668334727
